,train_mean_absolute_error,test_mean_absolute_error
Median Null Model,84.31749156355455,83.20462214950403
Random Forest,46.71027778654534,65.3525494406265
XGBoost,53.08115388562796,65.45117289039399
LightGBM,64.04590468963546,65.79249854834946
Average Ensembling,53.2697854718461,63.93848471184588
