neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Upper West Side,40.77312,-73.98819,Private room,1,11,0.5,2,0,78
Queens,Flushing,40.7547,-73.81238,Private room,2,56,2.27,4,63,66
Brooklyn,Boerum Hill,40.68307,-73.97981,Private room,15,0,0.0,1,0,55
Manhattan,Upper East Side,40.77721,-73.94997,Entire home/apt,31,5,0.31,33,326,300
Manhattan,East Harlem,40.7923,-73.94613000000001,Entire home/apt,2,4,3.75,1,44,250
Manhattan,Midtown,40.76547,-73.97952,Entire home/apt,30,1,1.0,1,342,250
Manhattan,Upper West Side,40.7904,-73.97555,Entire home/apt,30,0,0.0,232,293,320
Queens,Long Island City,40.7473,-73.93914000000001,Private room,1,0,0.0,1,296,389
Brooklyn,Flatbush,40.64658,-73.96909000000001,Entire home/apt,2,27,1.46,1,167,95
Manhattan,Upper East Side,40.7652,-73.95834,Private room,1,9,2.87,2,0,109
Manhattan,East Village,40.72945,-73.98203000000001,Private room,1,3,0.21,2,0,75
Queens,Rego Park,40.73349,-73.86009,Private room,1,38,0.85,1,0,55
Manhattan,East Village,40.727340000000005,-73.97528,Entire home/apt,2,50,3.69,1,278,142
Manhattan,Upper West Side,40.78618,-73.97339000000001,Entire home/apt,4,38,0.56,1,3,299
Manhattan,Chelsea,40.74462,-74.00139,Private room,5,77,2.73,2,79,103
Brooklyn,Williamsburg,40.715579999999996,-73.93576999999999,Entire home/apt,3,26,0.76,1,0,249
Brooklyn,Crown Heights,40.67585,-73.91808,Private room,1,1,0.88,1,34,30
Queens,Ditmars Steinway,40.77922,-73.90861,Private room,3,49,3.68,1,11,50
Manhattan,Harlem,40.8305,-73.9437,Private room,2,38,1.09,1,0,105
Queens,Arverne,40.59491,-73.78851,Entire home/apt,1,14,0.36,2,352,750
Brooklyn,Crown Heights,40.669959999999996,-73.94836,Entire home/apt,3,8,0.9,5,249,530
Manhattan,Upper East Side,40.7818,-73.95121999999999,Entire home/apt,1,0,0.0,1,0,120
Brooklyn,Williamsburg,40.715720000000005,-73.94058000000001,Entire home/apt,2,2,0.04,2,0,350
Manhattan,Harlem,40.82132,-73.95441,Private room,1,3,3.0,3,249,57
Brooklyn,Prospect Heights,40.67774,-73.96486999999999,Entire home/apt,7,22,0.78,1,13,95
Brooklyn,Williamsburg,40.71294,-73.95866,Private room,2,25,2.19,3,342,95
Manhattan,East Village,40.72923,-73.98196999999999,Entire home/apt,1,40,2.37,1,73,189
Brooklyn,Prospect Heights,40.67846,-73.97157,Private room,2,2,0.14,3,0,99
Manhattan,Nolita,40.72124,-73.99425,Private room,1,28,2.84,3,21,68
