neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Brooklyn,Crown Heights,40.67792,-73.9484,Private room,1,9,1.18,1,249,99
Brooklyn,Williamsburg,40.70803,-73.94255,Entire home/apt,3,3,1.32,1,249,118
Brooklyn,Fort Greene,40.68812,-73.97666,Private room,3,148,3.83,2,42,100
Brooklyn,Crown Heights,40.67828,-73.95645999999999,Private room,2,37,0.52,1,2,100
Brooklyn,Bedford-Stuyvesant,40.68805,-73.92599,Private room,2,0,0.0,1,83,175
Manhattan,Chelsea,40.74927,-74.00690999999999,Entire home/apt,2,0,0.0,1,0,200
Bronx,Mount Hope,40.846070000000005,-73.9071,Private room,91,0,0.0,1,364,55
Queens,Forest Hills,40.7232,-73.84425999999999,Private room,1,9,0.42,2,0,50
Brooklyn,Bedford-Stuyvesant,40.68092,-73.90777,Private room,1,8,2.76,6,138,55
Brooklyn,Crown Heights,40.670320000000004,-73.93956999999999,Private room,7,0,0.0,3,63,65
Queens,Sunnyside,40.74561,-73.91927,Entire home/apt,3,2,0.07,1,0,88
Bronx,City Island,40.84964,-73.78716999999999,Private room,2,45,2.04,1,118,50
Manhattan,Chelsea,40.74153,-74.00036,Entire home/apt,2,106,2.29,1,318,150
Manhattan,Upper East Side,40.76272,-73.96775,Entire home/apt,3,76,1.48,1,126,169
Brooklyn,Downtown Brooklyn,40.69727,-73.98552,Entire home/apt,31,8,0.59,2,138,97
Manhattan,Chelsea,40.74245,-73.99348,Entire home/apt,12,1,0.61,1,332,750
Bronx,Norwood,40.87709,-73.88228000000001,Private room,1,50,1.1,4,267,38
Brooklyn,Bedford-Stuyvesant,40.69066,-73.95922,Entire home/apt,2,2,0.3,1,0,300
Queens,Woodside,40.74286,-73.91076,Private room,2,0,0.0,1,365,120
Queens,Ditmars Steinway,40.77363,-73.91188000000001,Private room,4,0,0.0,1,0,90
Manhattan,Washington Heights,40.83493,-73.93859,Entire home/apt,150,4,0.25,19,338,68
Queens,Glendale,40.70388,-73.88011999999999,Entire home/apt,2,117,5.33,1,3,100
Brooklyn,Williamsburg,40.71452,-73.95486,Entire home/apt,1,1,0.02,1,0,269
Brooklyn,East Flatbush,40.6614,-73.93867,Private room,2,3,0.38,1,176,110
Manhattan,Upper East Side,40.76848,-73.96014,Entire home/apt,1,25,0.75,1,0,109
Brooklyn,Fort Greene,40.69117,-73.97046999999999,Entire home/apt,2,72,3.12,1,290,180
Brooklyn,Bushwick,40.70126,-73.93731,Private room,1,0,0.0,1,0,50
Brooklyn,Williamsburg,40.705090000000006,-73.93471,Entire home/apt,2,6,0.31,1,0,150
Brooklyn,Bushwick,40.68823,-73.90825,Private room,1,49,1.86,3,105,53
Bronx,North Riverdale,40.913059999999994,-73.89389,Private room,1,1,1.0,3,175,40
Manhattan,East Village,40.73001,-73.98411,Entire home/apt,5,1,0.11,1,0,230
Brooklyn,Flatbush,40.65468,-73.95703,Private room,3,3,0.08,1,0,50
Manhattan,Upper East Side,40.76279,-73.96266,Private room,1,16,1.26,1,80,125
Queens,Jamaica,40.683240000000005,-73.79169,Private room,1,4,1.45,3,157,39
Manhattan,West Village,40.73237,-74.00608000000001,Entire home/apt,14,65,0.73,1,155,199
Manhattan,Chinatown,40.7189,-73.99627,Entire home/apt,5,0,0.0,1,27,120
Brooklyn,Bensonhurst,40.60909,-73.9769,Private room,2,14,0.44,2,82,65
Queens,Queens Village,40.71833,-73.7507,Entire home/apt,2,49,2.08,1,347,125
Queens,Ridgewood,40.70619,-73.9145,Private room,2,17,1.01,1,0,37
Manhattan,Tribeca,40.71918,-74.00786,Entire home/apt,6,0,0.0,1,55,169
Brooklyn,Greenpoint,40.71942,-73.95011,Private room,4,2,0.26,1,0,75
Brooklyn,Crown Heights,40.67133,-73.94526,Entire home/apt,2,8,0.4,1,0,128
Brooklyn,Williamsburg,40.71853,-73.94808,Entire home/apt,4,4,3.0,1,334,659
Manhattan,Lower East Side,40.71235,-73.99070999999999,Private room,21,0,0.0,1,332,100
Brooklyn,Prospect-Lefferts Gardens,40.66178,-73.9505,Entire home/apt,1,76,8.29,1,321,175
Manhattan,Harlem,40.82501,-73.95373000000001,Private room,1,4,0.08,3,365,125
Brooklyn,Williamsburg,40.71552,-73.93869000000001,Entire home/apt,5,1,0.02,1,0,220
Manhattan,Midtown,40.760220000000004,-73.9744,Entire home/apt,6,13,0.25,1,0,235
Brooklyn,Brownsville,40.66087,-73.90935,Entire home/apt,1,2,0.1,1,0,115
Queens,Jamaica,40.68156,-73.76844,Private room,1,19,0.85,2,177,80
Queens,Ridgewood,40.70588,-73.90821,Private room,2,0,0.0,1,0,75
Manhattan,Upper West Side,40.79886,-73.96157,Entire home/apt,7,0,0.0,1,0,132
Manhattan,Hell's Kitchen,40.76254,-73.98711999999999,Private room,1,61,1.04,1,316,90
Staten Island,Tompkinsville,40.63482,-74.095,Entire home/apt,2,13,2.89,1,247,65
Manhattan,Harlem,40.82266,-73.95481,Private room,1,0,0.0,1,56,70
Manhattan,Upper East Side,40.762370000000004,-73.96374,Entire home/apt,2,12,0.78,1,85,500
Queens,Woodside,40.74152,-73.90314000000001,Private room,30,1,0.57,103,1,67
Manhattan,Harlem,40.80697,-73.945,Entire home/apt,3,25,0.73,1,89,200
Manhattan,Harlem,40.80734,-73.94201,Entire home/apt,3,11,1.02,1,85,290
Brooklyn,Williamsburg,40.7177,-73.96346,Private room,9,1,0.19,2,15,70
Brooklyn,Bedford-Stuyvesant,40.68697,-73.92271,Private room,2,0,0.0,1,0,60
Manhattan,Harlem,40.82978,-73.94823000000001,Private room,1,3,0.15,2,0,88
Manhattan,Upper East Side,40.76035,-73.96045,Private room,4,11,1.3,1,156,80
Brooklyn,Clinton Hill,40.68822,-73.96018000000001,Private room,2,1,0.51,1,11,55
Brooklyn,Greenpoint,40.723209999999995,-73.9433,Entire home/apt,3,107,2.38,2,277,150
Queens,Jamaica,40.668,-73.78477,Private room,1,98,15.23,8,189,30
Brooklyn,Bedford-Stuyvesant,40.69475,-73.9405,Shared room,30,3,0.21,10,342,37
Brooklyn,Bushwick,40.704229999999995,-73.91595,Private room,1,3,0.13,1,0,75
Manhattan,Hell's Kitchen,40.76443,-73.99219000000001,Private room,3,17,0.4,2,0,105
Bronx,Norwood,40.86853,-73.88301,Entire home/apt,10,7,0.2,1,327,120
Manhattan,Financial District,40.7075,-74.00853000000001,Entire home/apt,30,0,0.0,6,222,196
Brooklyn,Fort Greene,40.69032,-73.97678,Entire home/apt,3,16,1.67,2,81,335
Brooklyn,Williamsburg,40.70671,-73.95076,Private room,7,0,0.0,1,210,65
Brooklyn,South Slope,40.663779999999996,-73.97813000000001,Entire home/apt,3,6,0.13,1,0,166
Manhattan,West Village,40.73323,-74.00434,Entire home/apt,2,3,0.07,1,0,198
Bronx,Morris Heights,40.85073,-73.9128,Private room,3,20,0.47,2,316,50
Queens,Ridgewood,40.70183,-73.91145999999999,Private room,7,16,0.47,1,247,35
Manhattan,Upper East Side,40.770379999999996,-73.95273,Private room,5,2,0.14,2,342,105
Brooklyn,Williamsburg,40.716879999999996,-73.94584,Entire home/apt,2,88,1.31,1,223,250
Manhattan,East Village,40.73183,-73.98513,Entire home/apt,4,7,0.31,1,0,129
Manhattan,SoHo,40.726279999999996,-74.00236,Entire home/apt,2,12,1.89,1,0,380
Brooklyn,Gowanus,40.68084,-73.98964000000001,Entire home/apt,7,11,1.3,1,1,130
Manhattan,Nolita,40.72313,-73.99438,Entire home/apt,5,5,0.09,1,89,310
Manhattan,Harlem,40.80819,-73.94729,Private room,3,0,0.0,1,362,100
Brooklyn,Williamsburg,40.71262,-73.95676,Entire home/apt,7,20,0.33,1,44,170
Queens,Astoria,40.76188,-73.91766,Private room,3,3,0.08,2,0,55
Brooklyn,Clinton Hill,40.682140000000004,-73.96536,Entire home/apt,6,2,0.18,1,0,119
Brooklyn,Boerum Hill,40.686,-73.98794000000001,Entire home/apt,1,0,0.0,1,148,190
Manhattan,Midtown,40.74848,-73.98631,Entire home/apt,1,4,4.0,1,262,180
Queens,Astoria,40.758070000000004,-73.91582,Entire home/apt,4,0,0.0,2,0,80
Brooklyn,Williamsburg,40.71218,-73.96048,Entire home/apt,3,8,0.3,1,0,220
Brooklyn,Cobble Hill,40.68675,-73.9995,Entire home/apt,1,67,3.63,2,146,145
Queens,Ditmars Steinway,40.7787,-73.9093,Entire home/apt,4,2,0.19,1,26,100
Manhattan,Theater District,40.76278,-73.98498000000001,Private room,3,18,0.46,1,0,197
Manhattan,Washington Heights,40.84531,-73.93583000000001,Private room,7,9,0.14,1,0,55
Brooklyn,Brownsville,40.66959,-73.91204,Private room,3,3,0.29,1,365,120
Manhattan,Battery Park City,40.71085,-74.01801,Entire home/apt,2,17,3.05,1,79,200
Brooklyn,Williamsburg,40.71714,-73.96234,Private room,2,107,2.26,8,84,60
Brooklyn,Williamsburg,40.71823,-73.96141,Entire home/apt,3,0,0.0,1,0,180
Brooklyn,Kensington,40.64593,-73.97745,Entire home/apt,3,38,2.36,3,0,84
Brooklyn,Bedford-Stuyvesant,40.69175,-73.94447,Private room,2,24,0.83,3,99,51
Manhattan,Theater District,40.756609999999995,-73.98756999999999,Private room,1,0,0.0,13,358,100
Brooklyn,Bedford-Stuyvesant,40.69573,-73.95076,Entire home/apt,2,0,0.0,1,0,150
Brooklyn,Borough Park,40.64346,-73.99814,Entire home/apt,2,35,0.78,1,346,120
Manhattan,Hell's Kitchen,40.76356,-73.98814,Shared room,1,2,1.62,7,362,77
Brooklyn,Williamsburg,40.71215,-73.95801,Private room,2,0,0.0,1,0,65
Manhattan,Financial District,40.705999999999996,-74.01068000000001,Entire home/apt,2,10,2.78,327,354,221
Brooklyn,Windsor Terrace,40.65766,-73.97614,Entire home/apt,3,8,0.32,1,0,275
Manhattan,Lower East Side,40.71833,-73.98562,Private room,1,0,0.0,2,0,95
Manhattan,SoHo,40.72599,-74.00168000000001,Private room,5,1,0.01,1,210,270
Brooklyn,Greenpoint,40.72717,-73.95688,Private room,4,1,0.08,1,0,100
Brooklyn,Crown Heights,40.665859999999995,-73.95128000000001,Private room,4,21,0.34,4,129,55
Brooklyn,Williamsburg,40.71695,-73.93847,Entire home/apt,1,7,2.56,2,1,110
Brooklyn,Williamsburg,40.713159999999995,-73.94532,Private room,3,5,0.08,1,0,77
Brooklyn,Greenpoint,40.72133,-73.94903000000001,Entire home/apt,2,7,0.36,1,2,135
Manhattan,Upper East Side,40.76719,-73.95253000000001,Entire home/apt,5,1,0.2,1,24,200
Brooklyn,Sheepshead Bay,40.58625,-73.94591,Private room,1,8,7.27,3,75,50
Brooklyn,Bushwick,40.69808,-73.93174,Private room,1,1,0.03,1,0,60
Queens,Elmhurst,40.74283,-73.88899,Private room,2,0,0.0,1,179,110
Brooklyn,Boerum Hill,40.68497,-73.97986,Entire home/apt,3,45,2.29,1,3,200
Queens,Woodhaven,40.69137,-73.86591,Private room,1,0,0.0,8,341,35
Brooklyn,Bedford-Stuyvesant,40.69095,-73.93444000000001,Entire home/apt,31,4,0.16,1,178,125
Manhattan,East Village,40.72915,-73.98565,Entire home/apt,2,29,0.47,1,361,199
Manhattan,Little Italy,40.71946,-73.99761,Entire home/apt,4,0,0.0,1,0,170
Manhattan,East Village,40.72372,-73.97984,Entire home/apt,2,85,3.33,1,194,150
Manhattan,Theater District,40.75598,-73.98796,Entire home/apt,5,7,0.16,5,82,300
Brooklyn,Bushwick,40.69943,-73.92858000000001,Private room,1,3,2.43,1,0,75
Brooklyn,Williamsburg,40.71779,-73.94632,Private room,1,5,0.34,1,90,101
Manhattan,Washington Heights,40.85041,-73.92645,Private room,3,122,2.68,1,199,50
Brooklyn,Bedford-Stuyvesant,40.683170000000004,-73.91431999999999,Private room,3,3,0.07,1,0,40
Brooklyn,Greenpoint,40.729820000000004,-73.95503000000001,Entire home/apt,3,2,0.05,1,0,120
Manhattan,Midtown,40.754259999999995,-73.96524000000001,Entire home/apt,3,5,0.8,1,41,182
Brooklyn,Cypress Hills,40.6845,-73.87706,Entire home/apt,3,82,1.83,3,351,90
Brooklyn,Carroll Gardens,40.67711,-73.99691999999999,Private room,2,2,0.07,1,0,50
Brooklyn,Crown Heights,40.67477,-73.95313,Private room,2,1,0.07,1,0,60
Brooklyn,Bedford-Stuyvesant,40.6925,-73.94214000000001,Private room,1,11,1.77,1,345,58
Brooklyn,Crown Heights,40.67255,-73.93328000000001,Entire home/apt,1,24,0.51,1,299,150
Queens,Jamaica,40.67367,-73.78157,Entire home/apt,1,3,0.41,2,359,160
Manhattan,Harlem,40.82165,-73.95491,Private room,3,16,0.26,1,209,70
Manhattan,Harlem,40.82233,-73.94686999999999,Private room,29,0,0.0,2,31,35
Brooklyn,Bushwick,40.69809,-73.93435,Private room,2,0,0.0,1,0,75
Brooklyn,Fort Greene,40.693690000000004,-73.98074,Entire home/apt,2,7,0.29,1,0,120
Queens,Long Island City,40.75676,-73.93463,Entire home/apt,3,184,2.65,1,84,250
Brooklyn,Crown Heights,40.664120000000004,-73.95591,Private room,15,1,0.02,1,314,70
Manhattan,Murray Hill,40.74612,-73.97417,Entire home/apt,1,0,0.0,1,201,159
Manhattan,Little Italy,40.71717,-73.99817,Entire home/apt,4,0,0.0,1,334,350
Brooklyn,Williamsburg,40.71136,-73.9534,Private room,1,0,0.0,1,0,50
Manhattan,East Harlem,40.788579999999996,-73.94742,Entire home/apt,1,19,0.43,4,322,174
Manhattan,Murray Hill,40.74791,-73.97334000000001,Entire home/apt,5,1,0.02,1,281,500
Manhattan,East Village,40.72354,-73.98295,Entire home/apt,3,30,0.28,1,248,195
Manhattan,East Village,40.73121,-73.98693,Entire home/apt,5,46,1.81,1,92,220
Queens,Ditmars Steinway,40.77012,-73.90919,Private room,1,0,0.0,5,19,80
Manhattan,East Village,40.72191,-73.98141,Entire home/apt,2,69,5.27,1,39,150
Brooklyn,Bushwick,40.70685,-73.92149,Private room,4,3,2.5,2,5,50
Manhattan,Upper West Side,40.794000000000004,-73.96734000000001,Entire home/apt,30,1,0.04,96,294,310
Brooklyn,Bedford-Stuyvesant,40.69294,-73.96001,Private room,1,1,0.02,1,0,75
Brooklyn,Prospect-Lefferts Gardens,40.6597,-73.94863000000001,Entire home/apt,2,4,0.34,1,11,200
Brooklyn,Sunset Park,40.63747,-74.01153000000001,Private room,3,5,0.11,1,281,52
Brooklyn,Downtown Brooklyn,40.69383,-73.98539,Entire home/apt,14,1,0.1,1,0,180
Manhattan,Chelsea,40.74913,-73.99575,Entire home/apt,39,25,0.35,19,245,93
Manhattan,Inwood,40.86958,-73.9172,Entire home/apt,4,9,0.65,1,364,225
Brooklyn,Williamsburg,40.712720000000004,-73.95599,Private room,4,0,0.0,1,0,59
Brooklyn,Flatbush,40.65087,-73.96467,Private room,2,69,2.08,2,60,65
Queens,Ridgewood,40.70728,-73.90572,Private room,4,2,0.73,1,51,60
Brooklyn,Cypress Hills,40.68392,-73.8693,Entire home/apt,4,7,2.47,1,136,195
Queens,East Elmhurst,40.75598,-73.8837,Private room,2,4,0.4,2,325,60
Manhattan,West Village,40.73635,-74.00223000000001,Entire home/apt,1,0,0.0,8,72,89
Brooklyn,Bensonhurst,40.60644,-73.99135,Entire home/apt,1,39,3.77,1,362,88
Brooklyn,Bushwick,40.70041,-73.92884000000001,Private room,5,2,0.94,2,323,90
Manhattan,Harlem,40.82286,-73.94596,Private room,3,33,0.39,3,301,75
Brooklyn,Williamsburg,40.70834,-73.94717,Entire home/apt,1,115,5.06,2,67,139
Brooklyn,Bedford-Stuyvesant,40.69072,-73.95026,Private room,30,13,1.65,4,336,65
Manhattan,Midtown,40.74387,-73.98496,Shared room,5,5,0.12,3,0,55
Manhattan,West Village,40.73558,-74.00492,Entire home/apt,3,0,0.0,1,353,550
Manhattan,Washington Heights,40.8442,-73.93721,Private room,1,3,0.05,1,0,60
Brooklyn,Bushwick,40.6879,-73.91767,Private room,1,2,0.06,2,0,65
Brooklyn,Sea Gate,40.57645,-74.01065,Entire home/apt,2,6,0.24,1,260,1485
Manhattan,Hell's Kitchen,40.75756,-73.99318000000001,Entire home/apt,1,0,0.0,1,0,200
Manhattan,Harlem,40.81243,-73.9392,Entire home/apt,1,0,0.0,1,89,250
Brooklyn,Bushwick,40.70068,-73.92293000000001,Private room,3,8,0.33,1,0,60
Manhattan,Upper West Side,40.77655,-73.98074,Entire home/apt,3,9,0.19,1,0,200
Manhattan,Gramercy,40.73379,-73.98645,Private room,2,24,1.68,3,149,150
Queens,Jackson Heights,40.74774,-73.88653000000001,Entire home/apt,2,3,0.84,1,6,115
Brooklyn,Bedford-Stuyvesant,40.68562,-73.95624000000001,Entire home/apt,5,2,0.09,1,0,100
Manhattan,Upper East Side,40.77081,-73.94944,Entire home/apt,30,1,0.16,1,143,195
Brooklyn,Williamsburg,40.71909,-73.95998,Private room,1,170,5.9,1,245,45
Brooklyn,Williamsburg,40.72084,-73.9554,Entire home/apt,2,4,0.58,1,0,295
Brooklyn,Bedford-Stuyvesant,40.69348,-73.94757,Shared room,18,8,1.89,1,27,30
Brooklyn,Williamsburg,40.7155,-73.96188000000001,Private room,1,6,0.16,3,364,150
Manhattan,Midtown,40.7461,-73.98631999999999,Entire home/apt,1,3,0.07,1,0,281
Manhattan,East Village,40.72677,-73.9911,Entire home/apt,4,6,0.4,4,121,500
Brooklyn,Bedford-Stuyvesant,40.68929,-73.93079,Private room,1,296,6.37,7,59,79
Brooklyn,Clinton Hill,40.694320000000005,-73.96481,Entire home/apt,14,3,0.04,1,0,160
Manhattan,Upper West Side,40.78901,-73.98057,Entire home/apt,5,12,1.35,1,12,199
Brooklyn,Sunset Park,40.641870000000004,-74.01252,Private room,2,1,0.03,1,0,30
Manhattan,East Village,40.7281,-73.97952,Entire home/apt,5,3,0.07,1,0,100
Manhattan,Midtown,40.76474,-73.98187,Private room,3,5,0.62,1,0,160
Queens,Maspeth,40.739979999999996,-73.90113000000001,Private room,30,1,0.43,103,251,63
Manhattan,Morningside Heights,40.807520000000004,-73.96713000000001,Entire home/apt,7,5,0.14,1,0,375
Manhattan,Washington Heights,40.84365,-73.94069,Private room,20,0,0.0,3,180,60
Queens,Corona,40.74807,-73.86511,Shared room,1,6,0.33,6,361,37
Brooklyn,Bedford-Stuyvesant,40.680620000000005,-73.91251,Private room,5,12,1.28,3,354,80
Bronx,Highbridge,40.838440000000006,-73.92489,Entire home/apt,4,37,1.21,1,26,75
Brooklyn,Carroll Gardens,40.68352,-73.9999,Entire home/apt,2,37,2.93,1,100,150
Manhattan,East Harlem,40.80106,-73.94503,Entire home/apt,5,35,2.19,1,0,100
Manhattan,Harlem,40.81103,-73.9398,Private room,30,9,0.25,1,88,165
Brooklyn,Williamsburg,40.71362,-73.95617,Entire home/apt,1,4,0.18,3,201,360
Queens,Glendale,40.699909999999996,-73.89488,Entire home/apt,4,7,2.28,2,70,190
Brooklyn,Cobble Hill,40.68631,-73.99624,Entire home/apt,4,3,0.24,1,89,700
Brooklyn,Bedford-Stuyvesant,40.681,-73.92894,Entire home/apt,4,3,0.16,1,0,150
Manhattan,Morningside Heights,40.81453,-73.96141,Entire home/apt,3,3,0.19,1,0,125
Brooklyn,Bedford-Stuyvesant,40.68383,-73.95298000000001,Private room,3,5,0.09,1,0,45
Manhattan,Two Bridges,40.711059999999996,-73.99576,Entire home/apt,1,0,0.0,1,0,122
Manhattan,Harlem,40.80937,-73.94989,Private room,2,29,1.03,4,0,120
Queens,Sunnyside,40.73852,-73.92777,Private room,10,27,0.71,1,125,85
Manhattan,Morningside Heights,40.80511,-73.95824,Private room,3,0,0.0,1,364,300
Bronx,Riverdale,40.88452,-73.91065,Entire home/apt,3,2,2.0,1,52,99
Brooklyn,Bedford-Stuyvesant,40.67969,-73.93974,Private room,3,0,0.0,1,0,35
Manhattan,Lower East Side,40.71947,-73.99327,Private room,1,2,0.04,3,0,150
Queens,Ridgewood,40.70746,-73.91118,Private room,5,1,1.0,1,192,44
Manhattan,Upper West Side,40.80046,-73.96598,Private room,1,5,0.22,1,0,75
Brooklyn,Williamsburg,40.70704,-73.95522,Private room,2,47,1.1,1,54,70
Manhattan,Harlem,40.8284,-73.94461,Private room,1,102,2.7,2,90,81
Brooklyn,Williamsburg,40.70404,-73.93348,Private room,3,3,0.76,1,0,45
Manhattan,Harlem,40.80925,-73.94226,Private room,5,0,0.0,1,90,55
Brooklyn,Fort Greene,40.69415,-73.97131,Entire home/apt,3,26,0.76,1,0,100
Brooklyn,Bushwick,40.68891,-73.92084,Private room,1,6,0.17,2,0,75
Queens,Ridgewood,40.69766,-73.90354,Entire home/apt,1,42,7.12,3,121,100
Manhattan,Upper West Side,40.78613,-73.9732,Entire home/apt,30,2,0.06,8,332,295
Brooklyn,Greenpoint,40.72522,-73.95184,Private room,3,7,0.4,5,285,46
Brooklyn,Williamsburg,40.71216,-73.96325999999999,Private room,3,78,1.01,1,268,98
Manhattan,Washington Heights,40.84411,-73.93784000000001,Private room,3,89,2.54,1,113,50
Manhattan,Greenwich Village,40.72874,-74.00088000000001,Private room,2,4,0.08,1,0,95
Manhattan,Chelsea,40.7425,-73.99443000000001,Entire home/apt,29,0,0.0,327,365,260
Manhattan,West Village,40.73342,-74.00615,Entire home/apt,4,10,0.25,1,0,200
Queens,Astoria,40.76357,-73.92829,Private room,5,46,0.91,1,338,100
Manhattan,Harlem,40.81691,-73.94835,Entire home/apt,3,2,0.06,1,0,100
Brooklyn,Bushwick,40.70081,-73.91805,Entire home/apt,2,20,2.28,1,364,160
Manhattan,Morningside Heights,40.815459999999995,-73.95823,Entire home/apt,2,0,0.0,1,10,150
Manhattan,Chelsea,40.74815,-73.99417,Entire home/apt,1,0,0.0,1,0,250
Brooklyn,Williamsburg,40.718959999999996,-73.95423000000001,Private room,3,5,0.16,2,0,118
Brooklyn,Bedford-Stuyvesant,40.68633,-73.93557,Private room,7,1,0.03,2,0,60
Brooklyn,Williamsburg,40.71032,-73.94806,Entire home/apt,30,15,1.03,2,55,199
Brooklyn,Greenpoint,40.73154,-73.95485,Entire home/apt,4,4,0.09,1,0,109
Manhattan,East Harlem,40.79155,-73.94745999999999,Private room,1,70,1.36,4,102,80
Manhattan,East Village,40.72715,-73.97757,Entire home/apt,12,0,0.0,1,0,173
Brooklyn,Sunset Park,40.66008,-73.99684,Entire home/apt,4,0,0.0,1,12,180
Queens,St. Albans,40.70132,-73.75463,Entire home/apt,2,11,2.32,2,230,30
Brooklyn,Bushwick,40.69166,-73.90314000000001,Private room,14,5,0.34,2,163,49
Queens,Astoria,40.77162,-73.92626,Private room,1,10,0.17,1,365,149
Queens,Rego Park,40.72614,-73.8594,Private room,1,0,0.0,1,123,80
Manhattan,Midtown,40.756640000000004,-73.97191,Private room,1,0,0.0,11,179,700
Manhattan,Murray Hill,40.74742,-73.97724000000001,Entire home/apt,3,1,0.02,1,0,229
Brooklyn,Bedford-Stuyvesant,40.69464,-73.94963,Private room,2,4,0.29,1,0,95
Brooklyn,Greenpoint,40.734429999999996,-73.95678000000001,Private room,7,2,0.05,1,47,90
Queens,Flushing,40.75786,-73.8123,Private room,2,54,2.28,10,360,48
Brooklyn,Crown Heights,40.6739,-73.9535,Private room,2,2,0.1,1,0,60
Brooklyn,Red Hook,40.67791,-74.0072,Private room,5,5,0.1,1,0,55
Manhattan,Upper East Side,40.76458,-73.96759,Entire home/apt,31,9,3.42,1,157,159
Manhattan,East Harlem,40.78698,-73.944,Private room,11,14,0.23,3,0,75
Brooklyn,Fort Greene,40.688790000000004,-73.97589,Entire home/apt,3,0,0.0,1,0,150
Brooklyn,Williamsburg,40.7073,-73.96607,Private room,4,17,1.59,2,131,60
Brooklyn,Williamsburg,40.71281,-73.9657,Entire home/apt,2,3,0.1,1,16,200
Brooklyn,Bedford-Stuyvesant,40.690870000000004,-73.946,Private room,3,0,0.0,1,0,63
Brooklyn,Greenpoint,40.73392,-73.95203000000001,Private room,1,3,0.55,2,0,65
Manhattan,Greenwich Village,40.73002,-74.00107,Entire home/apt,2,8,1.26,1,207,225
Brooklyn,Williamsburg,40.70492,-73.94258,Private room,3,8,0.33,1,35,42
Brooklyn,Williamsburg,40.71356,-73.95276,Entire home/apt,6,0,0.0,1,0,150
Brooklyn,Gowanus,40.67705,-73.99606999999999,Private room,1,3,0.06,2,0,65
Brooklyn,Sunset Park,40.662240000000004,-73.99805,Entire home/apt,365,4,0.12,1,365,196
Manhattan,Chinatown,40.718070000000004,-74.00215,Entire home/apt,6,1,0.03,1,0,100
Manhattan,Upper East Side,40.767109999999995,-73.95916,Private room,4,4,2.67,1,143,350
Manhattan,Gramercy,40.73268,-73.98399,Entire home/apt,1,26,4.48,1,72,199
Manhattan,SoHo,40.72576,-74.00265999999999,Private room,1,131,4.56,1,20,80
Manhattan,Upper West Side,40.794990000000006,-73.96631,Private room,1,0,0.0,1,0,139
Brooklyn,Bedford-Stuyvesant,40.69493,-73.94525,Private room,3,2,0.17,4,0,55
Manhattan,Hell's Kitchen,40.7558,-73.99677,Private room,7,6,0.66,47,328,62
Manhattan,Chelsea,40.74129,-74.00457,Private room,1,0,0.0,4,326,109
Manhattan,Murray Hill,40.74807,-73.98091,Private room,1,0,0.0,1,0,125
Queens,Astoria,40.76903,-73.91895,Private room,1,26,1.41,5,173,60
Manhattan,Hell's Kitchen,40.76019,-73.99586,Entire home/apt,4,8,0.12,1,0,499
Brooklyn,Sunset Park,40.66232,-73.9939,Entire home/apt,3,5,0.23,1,83,150
Brooklyn,Bedford-Stuyvesant,40.67749,-73.91084000000001,Private room,7,41,2.67,2,0,49
Manhattan,Inwood,40.85988,-73.92703,Private room,2,1,1.0,1,11,50
Manhattan,East Village,40.72845,-73.97989,Entire home/apt,2,3,0.06,1,0,200
Manhattan,Upper East Side,40.78293,-73.94691,Entire home/apt,30,6,0.16,1,0,140
Queens,Glendale,40.70467,-73.86108,Entire home/apt,10,3,0.93,1,178,200
Brooklyn,Bedford-Stuyvesant,40.69376,-73.93776,Entire home/apt,3,230,3.31,1,259,225
Manhattan,Upper East Side,40.77648,-73.96126,Entire home/apt,4,10,0.17,1,348,225
Manhattan,East Harlem,40.80203,-73.93885,Shared room,1,17,1.48,1,0,60
Brooklyn,Williamsburg,40.71117,-73.95291999999999,Private room,3,9,0.66,1,18,74
Brooklyn,Bushwick,40.70714,-73.9216,Entire home/apt,2,8,0.12,1,177,201
Brooklyn,Williamsburg,40.715920000000004,-73.9562,Private room,3,22,0.88,1,46,60
Brooklyn,Carroll Gardens,40.684309999999996,-73.99781999999999,Entire home/apt,5,4,0.07,1,0,145
Queens,St. Albans,40.700520000000004,-73.75184,Private room,4,0,0.0,1,365,400
Brooklyn,Williamsburg,40.7121,-73.93705,Entire home/apt,4,1,0.03,1,0,200
Manhattan,Harlem,40.83024,-73.94715,Private room,1,1,0.25,6,40,90
Brooklyn,Prospect-Lefferts Gardens,40.66151,-73.9455,Shared room,2,5,0.55,6,365,30
Manhattan,East Village,40.73259,-73.98680999999999,Entire home/apt,1,0,0.0,1,0,350
Manhattan,Harlem,40.816720000000004,-73.94745999999999,Private room,3,5,2.5,3,224,135
Manhattan,Chelsea,40.7476,-73.99348,Private room,2,21,0.96,1,0,130
Manhattan,Upper West Side,40.80032,-73.95998,Entire home/apt,1,9,5.09,1,229,285
Manhattan,Harlem,40.82765,-73.94889,Private room,2,3,0.07,1,87,125
Bronx,Woodlawn,40.89747,-73.8639,Entire home/apt,1,197,2.49,1,309,77
Brooklyn,Bedford-Stuyvesant,40.68417,-73.95343000000001,Entire home/apt,30,1,0.94,1,191,132
Manhattan,Hell's Kitchen,40.7666,-73.99256,Entire home/apt,7,6,0.14,1,0,98
